Rank;Title;TotalCites;ImpactFactor;EigenfactorScore
44;PHYSIOLOGICAL REVIEWS;27680;24.014;0.03038
45;PROGRESS IN MATERIALS SCIENCE;12382;23.750;0.01568
46;EUROPEAN HEART JOURNAL;56054;23.425;0.14681
47;Living Reviews in Relativity;2409;23.333;0.00591
48;Cell Stem Cell;23493;23.290;0.09603
49;BMJ-British Medical Journal;109303;23.259;0.15032
50;CANCER CELL;35217;22.844;0.09691
51;Annual Review of Psychology;18461;22.774;0.02255
51;Annual Review of Psychology;18461;22.774;0.02255
53;Journal of Statistical Software;14900;22.737;0.03874
54;Nature Physics;33233;22.727;0.12221
55;Annual Review of Immunology;17086;22.714;0.02880
56;ADVANCED MATERIALS;190542;21.950;0.36530
57;Advanced Energy Materials;34218;21.875;0.09987
58;Annual Review of Condensed Matter Physics;2349;21.853;0.01294
59;NATURE IMMUNOLOGY;41410;21.809;0.10229
60;Lancet Respiratory Medicine;5818;21.466;0.03047
61;Advances in Optics and Photonics;2050;21.286;0.00482
61;Psychological Science in the Public Interest;1231;21.286;0.00358
63;ACCOUNTS OF CHEMICAL RESEARCH;67004;20.955;0.14161
64;JAMA Oncology;5707;20.871;0.02777
65;GASTROENTEROLOGY;73198;20.773;0.12020
66;CLINICAL MICROBIOLOGY REVIEWS;18070;20.642;0.02023
67;Cell Metabolism;29834;20.565;0.10174
68;Nature Reviews Endocrinology;7377;20.265;0.02519
69;IEEE Communications Surveys and Tutorials;12217;20.230;0.03576
70;Annual Review of Biochemistry;19873;20.154;0.03017
71;PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS;26127;20.099;0.03063
72;JAMA Internal Medicine;11840;19.989;0.07628
73;NATURE NEUROSCIENCE;59426;19.912;0.15371
74;Nature Reviews Neurology;8095;19.819;0.02809
75;IMMUNITY;46541;19.734;0.13636
76;ANNALS OF INTERNAL MEDICINE;53689;19.384;0.09914
77;Lancet Diabetes & Endocrinology;5549;19.313;0.02981
78;Nature Climate Change;17986;19.181;0.09670
78;Nature Climate Change;17986;19.181;0.09670
80;NATURE CELL BIOLOGY;39896;19.064;0.09296
81;PHARMACOLOGICAL REVIEWS;12719;18.964;0.01439
82;CIRCULATION;167719;18.880;0.22363
83;Annual Review of Plant Biology;17852;18.712;0.01747
84;Lancet Global Health;4455;18.705;0.02432
84;Lancet Global Health;4455;18.705;0.02432
86;TRENDS IN CELL BIOLOGY;13708;18.564;0.03763
87;Cell Host & Microbe;15851;17.872;0.06474
88;SURFACE SCIENCE REPORTS;4543;17.800;0.00315
89;Nano Today;7073;17.753;0.01353
90;EUROPEAN UROLOGY;30723;17.581;0.07059
91;GUT;42750;17.016;0.07193
92;Nature Reviews Gastroenterology & Hepatology;6686;16.990;0.02417
93;JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY;99084;16.834;0.21355
94;Science Translational Medicine;26691;16.710;0.12645
95;JAMA Psychiatry;8414;16.642;0.04455
95;JAMA Psychiatry;8414;16.642;0.04455
97;Industrial and Organizational Psychology-Perspectives on Science and Practice;1123;16.375;0.00263
98;Nature Reviews Disease Primers;1559;16.071;0.00725
99;Annual Review of Pathology-Mechanisms of Disease;4402;15.952;0.00992
100;TRENDS IN ECOLOGY & EVOLUTION;35124;15.938;0.03882
101;ACTA NEUROPATHOLOGICA;18783;15.872;0.04149
102;Annual Review of Materials Research;7801;15.846;0.00830
103;TRENDS IN BIOCHEMICAL SCIENCES;16944;15.678;0.03083
104;Nature Reviews Rheumatology;6584;15.661;0.02231
105;TRENDS IN COGNITIVE SCIENCES;25391;15.557;0.04079
105;TRENDS IN COGNITIVE SCIENCES;25391;15.557;0.04079
107;ENDOCRINE REVIEWS;12975;15.545;0.00992
108;CELL RESEARCH;13728;15.393;0.03745
109;JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS;3797;15.325;0.00499
110;AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE;61024;15.239;0.08683
111;Lancet Psychiatry;3223;15.233;0.01521
111;Lancet Psychiatry;3223;15.233;0.01521
113;CIRCULATION RESEARCH;52753;15.211;0.08282
114;Nature Reviews Cardiology;5228;15.162;0.01821
115;BLOOD;167858;15.132;0.27804
116;BEHAVIORAL AND BRAIN SCIENCES;8900;15.071;0.01013
116;BEHAVIORAL AND BRAIN SCIENCES;8900;15.071;0.01013
118;INTENSIVE CARE MEDICINE;22135;15.008;0.03758
119;Annual Review of Medicine;6111;14.970;0.01032
120;JOURNAL OF HEPATOLOGY;37108;14.911;0.08733
121;Annual Review of Fluid Mechanics;11622;14.814;0.01171
122;Annual Review of Neuroscience;13320;14.675;0.01611
123;COORDINATION CHEMISTRY REVIEWS;30949;14.499;0.03495
124;Nature Geoscience;20386;14.391;0.07889
125;Physical Review X;10288;14.385;0.06959
126;JOURNAL OF THE AMERICAN CHEMICAL SOCIETY;533512;14.357;0.72853
127;Annual Review of Physiology;9111;14.327;0.01318
128;NEURON;89410;14.318;0.21673
129;REPORTS ON PROGRESS IN PHYSICS;15949;14.257;0.03053
130;MOLECULAR CELL;61604;14.248;0.18117
131;TRENDS IN IMMUNOLOGY;11204;14.188;0.02685
132;Nature Microbiology;2510;14.174;0.01367
133;PROGRESS IN NEUROBIOLOGY;13065;14.163;0.01555
134;Chem;997;14.104;0.00322
135;Nature Reviews Nephrology;4668;14.101;0.01710
136;HEPATOLOGY;63302;14.079;0.10336
137;FUNGAL DIVERSITY;4078;14.078;0.00667
138;ANNALS OF ONCOLOGY;38738;13.926;0.09578
139;Annual Review of Entomology;12338;13.860;0.00936
140;Nature Chemical Biology;19562;13.843;0.06124
141;Physics of Life Reviews;1381;13.783;0.00296
142;Annual Review of Physical Chemistry;8793;13.738;0.01420
143;ACS Nano;134596;13.709;0.34650
144;ADVANCED DRUG DELIVERY REVIEWS;34931;13.660;0.04305
145;Light-Science & Applications;4249;13.625;0.01570
146;TRENDS IN BIOTECHNOLOGY;14746;13.578;0.01917
147;REVIEWS OF GEOPHYSICS;10115;13.529;0.01276
148;MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS;11301;13.439;0.01206
149;DIABETES CARE;67278;13.397;0.11014
150;AMERICAN JOURNAL OF PSYCHIATRY;42369;13.391;0.03787
150;AMERICAN JOURNAL OF PSYCHIATRY;42369;13.391;0.03787
152;NATURE STRUCTURAL & MOLECULAR BIOLOGY;27547;13.333;0.08182
153;ADVANCED FUNCTIONAL MATERIALS;78965;13.325;0.16307
154;Annual Review of Pharmacology and Toxicology;7827;13.295;0.01050
155;Annual Review of Clinical Psychology;4926;13.278;0.01055
155;Annual Review of Clinical Psychology;4926;13.278;0.01055
157;JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY;49229;13.258;0.08380
158;JOURNAL OF CLINICAL INVESTIGATION;107818;13.251;0.16527
159;PSYCHOLOGICAL BULLETIN;47657;13.250;0.02595
159;PSYCHOLOGICAL BULLETIN;47657;13.250;0.02595
161;GENOME BIOLOGY;34697;13.214;0.11850
162;Materials Horizons;2883;13.183;0.00867
163;PSYCHOTHERAPY AND PSYCHOSOMATICS;3597;13.122;0.00552
163;PSYCHOTHERAPY AND PSYCHOSOMATICS;3597;13.122;0.00552
165;Nano Energy;23023;13.120;0.06088
166;Applied Physics Reviews;1582;12.894;0.00641
167;MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT;24208;12.888;0.09183
168;Annual Review of Marine Science;3288;12.867;0.00958
169;Living Reviews in Solar Physics;1134;12.833;0.00356
170;Alzheimers & Dementia;10423;12.740;0.03004
171;INTERNATIONAL MATERIALS REVIEWS;4577;12.703;0.00526
172;Journal of Cachexia Sarcopenia and Muscle;2207;12.511;0.00518
173;Advanced Science;4030;12.441;0.01211
174;Nature Protocols;36821;12.423;0.08655
175;Bone Research;977;12.354;0.00240
176;Nature Communications;178348;12.353;0.92656
177;ANNALS OF THE RHEUMATIC DISEASES;41994;12.350;0.08102
178;ACS Energy Letters;3282;12.277;0.00921
179;EUROPEAN RESPIRATORY JOURNAL;36506;12.242;0.05661
180;TRENDS IN PLANT SCIENCE;18864;12.149;0.02577
181;TRENDS IN PHARMACOLOGICAL SCIENCES;11806;12.108;0.01847
182;ANGEWANDTE CHEMIE-INTERNATIONAL EDITION;302685;12.102;0.57150
183;NANO LETTERS;153533;12.080;0.33156
184;BIOLOGICAL PSYCHIATRY;42494;11.982;0.05691
185;HUMAN REPRODUCTION UPDATE;8378;11.852;0.01390
186;TRENDS IN MICROBIOLOGY;11344;11.776;0.02097
187;Annual Review of Biophysics;2721;11.742;0.00939
188;BIOLOGICAL REVIEWS;11139;11.700;0.01728
189;APPLIED CATALYSIS B-ENVIRONMENTAL;58730;11.698;0.07129
190;PLOS MEDICINE;24232;11.675;0.05871
191;PROGRESS IN RETINAL AND EYE RESEARCH;5926;11.653;0.01048
192;MOLECULAR PSYCHIATRY;18460;11.640;0.04720
193;STUDIES IN MYCOLOGY;2777;11.633;0.00414
194;DRUG RESISTANCE UPDATES;2716;11.630;0.00391
195;JOURNAL OF PINEAL RESEARCH;9079;11.613;0.00860
196;ASTRONOMY AND ASTROPHYSICS REVIEW;1752;11.611;0.00531
197;NUCLEIC ACIDS RESEARCH;168962;11.561;0.40247
198;INTERNATIONAL JOURNAL OF COMPUTER VISION;16572;11.541;0.02504
199;Science Advances;10194;11.511;0.05708
200;Nature Plants;2284;11.471;0.01224
201;JAMA Neurology;6885;11.460;0.03527
202;BIOTECHNOLOGY ADVANCES;15722;11.452;0.02194
203;TRENDS IN NEUROSCIENCES;20061;11.439;0.02686
204;NATURAL PRODUCT REPORTS;9973;11.406;0.01609
205;FEMS MICROBIOLOGY REVIEWS;11237;11.392;0.01641
206;Annual Review of Earth and Planetary Sciences;7379;11.391;0.00990
207;ACS Catalysis;39650;11.384;0.11851
208;Lancet HIV;1476;11.355;0.00795
209;JNCI-Journal of the National Cancer Institute;37933;11.238;0.05255
210;ACS Central Science;2106;11.228;0.00944
211;Autophagy;14923;11.100;0.03551
212;PROGRESS IN PARTICLE AND NUCLEAR PHYSICS;3108;11.049;0.00613
213;TRENDS IN MOLECULAR MEDICINE;9213;11.021;0.01972
214;BRAIN;52061;10.840;0.07517
215;JOURNAL OF EXPERIMENTAL MEDICINE;62537;10.790;0.07831
216;JAMA Pediatrics;5870;10.769;0.03373
216;TRENDS IN ENDOCRINOLOGY AND METABOLISM;8362;10.769;0.01990
218;PROGRESS IN QUANTUM ELECTRONICS;1122;10.733;0.00134
219;Lancet Haematology;1307;10.698;0.00735
220;EUROPEAN JOURNAL OF HEART FAILURE;11113;10.683;0.02756
221;SLEEP MEDICINE REVIEWS;6080;10.602;0.01072
222;EMBO JOURNAL;67036;10.557;0.07978
223;TRENDS IN GENETICS;11805;10.556;0.02302
224;IEEE Industrial Electronics Magazine;1394;10.429;0.00368
225;PHARMACOLOGY & THERAPEUTICS;14319;10.376;0.02231
226;Journal of Thoracic Oncology;15010;10.336;0.03328
227;EMBO Molecular Medicine;6402;10.293;0.02616
228;JACC-Cardiovascular Imaging;8104;10.247;0.02636
229;ANNALS OF NEUROLOGY;37251;10.244;0.05339
230;AMERICAN JOURNAL OF GASTROENTEROLOGY;33483;10.231;0.05013
231;MOLECULAR BIOLOGY AND EVOLUTION;44664;10.217;0.10156
232;Dialogues in Human Geography;518;10.214;0.00179
233;CLINICAL CANCER RESEARCH;81859;10.199;0.13221
234;SEMINARS IN CANCER BIOLOGY;6330;10.198;0.01074
235;Annual Review of Ecology Evolution and Systematics;19458;10.160;0.01098
236;JAMA Cardiology;1650;10.133;0.00863
237;GENOME RESEARCH;38842;10.101;0.10506
238;LEUKEMIA;25265;10.023;0.05958
239;CURRENT OPINION IN CELL BIOLOGY;13339;10.015;0.02779
240;GENETICS IN MEDICINE;8825;9.937;0.02865
241;Journal of Materials Chemistry A;93815;9.931;0.23982
242;CHEMISTRY OF MATERIALS;100174;9.890;0.13912
243;JACC-Cardiovascular Interventions;10268;9.881;0.03729
244;Annual Review of Microbiology;9814;9.808;0.00979
245;ACTA NUMERICA;1826;9.727;0.00335
246;THORAX;22188;9.655;0.03011
247;DEVELOPMENTAL CELL;26896;9.616;0.07498
248;Small;41643;9.598;0.08647
249;Annual Review of Genetics;7707;9.589;0.01349
250;CLINICAL PSYCHOLOGY REVIEW;14836;9.577;0.01920
251;Annual Review of Phytopathology;7172;9.528;0.00677
252;MASS SPECTROMETRY REVIEWS;3845;9.526;0.00477
253;Annual Review of Food Science and Technology;1523;9.523;0.00357
254;ISME Journal;19791;9.520;0.05672
255;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;637268;9.504;1.108220
256;Annual Review of Public Health;5847;9.491;0.00901
256;Annual Review of Public Health;5847;9.491;0.00901
258;GENES & DEVELOPMENT;57469;9.462;0.09272
259;IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE;46505;9.455;0.06412
260;National Science Review;952;9.408;0.00434
261;INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY;1796;9.406;0.00294
262;Nanoscale Horizons;505;9.391;0.00155
263;NEURO-ONCOLOGY;10930;9.384;0.03035
264;Epilepsy Currents;790;9.333;0.00160
265;SPACE SCIENCE REVIEWS;10649;9.327;0.02571
266;Molecular Plant;7010;9.326;0.02169
267;PROGRESS IN SOLID STATE CHEMISTRY;1994;9.313;0.00099
268;Perspectives on Psychological Science;8147;9.305;0.02369
269;Academy of Management Annals;2783;9.281;0.00834
269;PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW;5766;9.281;0.00653
271;IEEE COMMUNICATIONS MAGAZINE;21610;9.270;0.05644
272;CURRENT BIOLOGY;56595;9.251;0.13720
273;Cold Spring Harbor Perspectives in Biology;13275;9.247;0.04936
274;IMMUNOLOGICAL REVIEWS;14555;9.217;0.02854
275;npj Quantum Information;420;9.206;0.00239
276;ANNALS OF SURGERY;48932;9.203;0.06634
277;IEEE WIRELESS COMMUNICATIONS;6702;9.202;0.01766
278;Cancer Immunology Research;4361;9.188;0.02118
279;RENEWABLE & SUSTAINABLE ENERGY REVIEWS;67014;9.184;0.10857
280;PLOS BIOLOGY;28750;9.163;0.05868
281;ECOLOGY LETTERS;30928;9.137;0.05119
282;Microbiome;2532;9.133;0.01084
283;CANCER RESEARCH;139291;9.130;0.13019
284;CLINICAL INFECTIOUS DISEASES;61618;9.117;0.12001
285;PROCEEDINGS OF THE IEEE;31332;9.107;0.03139
286;HAEMATOLOGICA;16138;9.090;0.03893
287;BMC Medicine;12000;9.088;0.04160
288;Chemical Science;35721;9.063;0.12411
289;Annual Review of Cell and Developmental Biology;9812;9.032;0.01687
290;PROGRESS IN SURFACE SCIENCE;2004;9.000;0.00180
291;GLOBAL CHANGE BIOLOGY;36182;8.997;0.07242
292;Cell Systems;1129;8.982;0.00960
293;AGEING RESEARCH REVIEWS;5297;8.973;0.01203
294;npj Computational Materials;355;8.941;0.00150
295;Genome Medicine;4265;8.898;0.02060
296;Annual Review of Nutrition;5528;8.886;0.00523
297;ACADEMY OF MANAGEMENT REVIEW;31863;8.855;0.01211
297;AMERICAN JOURNAL OF HUMAN GENETICS;36546;8.855;0.07055
299;Reviews in Mineralogy & Geochemistry;5406;8.846;0.00524
300;PHYSICAL REVIEW LETTERS;432843;8.839;0.65857
301;Wiley Interdisciplinary Reviews-Computational Molecular Science;4131;8.836;0.01516
302;BIOMATERIALS;108908;8.806;0.11467
303;IEEE Transactions on Cybernetics;9424;8.803;0.03272
304;Advances in Experimental Social Psychology;5133;8.800;0.00333
305;Earth System Science Data;1363;8.792;0.00823
306;Annual Review of Biomedical Engineering;4653;8.788;0.00626
307;JOURNAL OF CELL BIOLOGY;68915;8.784;0.08517
308;Annual Review of Analytical Chemistry;2100;8.756;0.00459
309;EMBO REPORTS;13293;8.749;0.03135
310;AUTOIMMUNITY REVIEWS;8956;8.745;0.02099
311;ALDRICHIMICA ACTA;846;8.727;0.00113
312;Journal of Physical Chemistry Letters;39275;8.709;0.13269
313;Acta Crystallographica Section C-Structural Chemistry;7598;8.678;0.00887
314;Annual Review of Genomics and Human Genetics;2729;8.676;0.00716
315;JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY;37796;8.655;0.05682
316;CLINICAL CHEMISTRY;27624;8.636;0.02437
317;Health Psychology Review;1378;8.597;0.00446
318;GREEN CHEMISTRY;38174;8.586;0.05657
319;ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES;26654;8.561;0.05431
320;Theranostics;5761;8.537;0.01571
321;Laser & Photonics Reviews;5403;8.529;0.01675
322;SYSTEMATIC BIOLOGY;15339;8.523;0.02780
323;Molecular Systems Biology;8447;8.500;0.01983
324;JAMA Surgery;4515;8.498;0.02494
325;JOURNAL OF THE ACADEMY OF MARKETING SCIENCE;10015;8.488;0.00675
326;Obesity Reviews;10241;8.483;0.02384
327;PROGRESS IN LIPID RESEARCH;5302;8.435;0.00675
328;KIDNEY INTERNATIONAL;42587;8.429;0.04996
329;IEEE TRANSACTIONS ON FUZZY SYSTEMS;12946;8.415;0.02128
330;CURRENT OPINION IN BIOTECHNOLOGY;14009;8.380;0.02486
331;Journal for ImmunoTherapy of Cancer;1675;8.374;0.00713
332;INTERNATIONAL JOURNAL OF EPIDEMIOLOGY;21401;8.360;0.04642
333;European Heart Journal-Cardiovascular Imaging;4630;8.336;0.02064
334;MOVEMENT DISORDERS;26511;8.324;0.03798
335;ENVIRONMENTAL HEALTH PERSPECTIVES;39741;8.309;0.04399
336;FRONTIERS IN ECOLOGY AND THE ENVIRONMENT;9137;8.302;0.01625
337;MEDICINAL RESEARCH REVIEWS;4174;8.290;0.00517
338;Translational Stroke Research;2202;8.266;0.00526
339;REVIEW OF EDUCATIONAL RESEARCH;8640;8.241;0.00522
340;PLANT CELL;48393;8.228;0.06364
341;BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER;5276;8.220;0.00930
342;JACC-Heart Failure;2827;8.202;0.01695
343;PERSOONIA;1644;8.182;0.00337
344;BIOSENSORS & BIOELECTRONICS;48853;8.173;0.06951
345;MATRIX BIOLOGY;4803;8.136;0.00850
346;Blood Cancer Journal;1804;8.125;0.00766
347;IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION;10682;8.124;0.00883
348;CANCER TREATMENT REVIEWS;7870;8.122;0.01582
349;JAMA Dermatology;3787;8.107;0.01617
350;ACS Applied Materials & Interfaces;123233;8.097;0.29043
351;Nature Reviews Urology;2966;8.089;0.00866
352;JOURNAL OF MANAGEMENT;18808;8.080;0.02118
353;NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS;24279;8.037;0.04846
354;Cell Reports;29789;8.032;0.21069
355;CELL DEATH AND DIFFERENTIATION;18865;8.000;0.03154
356;Nano Research;12540;7.994;0.02646
357;IEEE Transactions on Neural Networks and Learning Systems;19867;7.982;0.03533
358;JOURNAL OF HEART AND LUNG TRANSPLANTATION;11129;7.955;0.02897
359;CURRENT OPINION IN IMMUNOLOGY;9275;7.932;0.02012
360;Acta Crystallographica A-Foundation and Advances;13267;7.930;0.00499
361;TRENDS IN PARASITOLOGY;6398;7.929;0.01145
362;IEEE Transactions on Cloud Computing;1066;7.928;0.00413
363;APPLIED ENERGY;63669;7.900;0.10398
364;JOURNAL OF CONTROLLED RELEASE;46215;7.877;0.05797
365;Arthritis & Rheumatology;8188;7.871;0.03900
366;BRITISH JOURNAL OF SPORTS MEDICINE;17956;7.867;0.03072
367;QUARTERLY JOURNAL OF ECONOMICS;24898;7.863;0.05589
368;Applied Mechanics Reviews;3868;7.848;0.00302
369;ECOLOGICAL MONOGRAPHS;10569;7.828;0.00734
370;BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY;20169;7.804;0.04033
371;Molecular Cancer;10301;7.776;0.01728
372;EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING;14983;7.704;0.02487
373;CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY;4707;7.683;0.00577
373;Clinical Gastroenterology and Hepatology;15735;7.683;0.04208
375;Annual Review of Chemical and Biomolecular Engineering;1476;7.674;0.00373
375;METABOLIC ENGINEERING;6384;7.674;0.01400
377;CHEST;50472;7.652;0.06065
378;AGING CELL;8067;7.627;0.01891
379;eLife;25592;7.616;0.19592
380;NEUROLOGY;88493;7.609;0.11553
381;JOURNAL OF AUTOIMMUNITY;6410;7.607;0.01549
382;EPIDEMIOLOGIC REVIEWS;3422;7.583;0.00358
383;CURRENT OPINION IN CHEMICAL BIOLOGY;10226;7.572;0.01901
384;THYROID;11570;7.557;0.02073
385;Cellular & Molecular Immunology;3633;7.551;0.00830
386;Optica;4366;7.536;0.02373
387;NEW ASTRONOMY REVIEWS;905;7.500;0.00156
388;EARTH-SCIENCE REVIEWS;13904;7.491;0.02720
389;OPHTHALMOLOGY;37957;7.479;0.05831
390;RADIOLOGY;54109;7.469;0.06371
391;NEUROSCIENTIST;4738;7.461;0.00873
392;IEEE SIGNAL PROCESSING MAGAZINE;10318;7.451;0.02001
393;JOURNAL OF NUCLEAR MEDICINE;27101;7.439;0.03756
394;NEW PHYTOLOGIST;44994;7.433;0.07783
395;Advanced Optical Materials;5612;7.430;0.02026
396;EMERGING INFECTIOUS DISEASES;29657;7.422;0.05798
397;ChemSusChem;19946;7.411;0.04282
398;Nano-Micro Letters;1382;7.381;0.00259
399;IEEE Transactions on Smart Grid;14724;7.364;0.04341
400;INTERNATIONAL JOURNAL OF CANCER;51800;7.360;0.07187
400;Mucosal Immunology;6105;7.360;0.02186
402;ALIMENTARY PHARMACOLOGY & THERAPEUTICS;20128;7.357;0.03570
403;CURRENT OPINION IN PLANT BIOLOGY;12537;7.349;0.02165
404;ADVANCES IN COLLOID AND INTERFACE SCIENCE;12918;7.346;0.01224
405;MOLECULAR ASPECTS OF MEDICINE;5157;7.344;0.00970
406;JOURNAL OF MARKETING;24133;7.338;0.01076
407;Journal of Hematology & Oncology;4098;7.333;0.00975
408;ENVIRONMENT INTERNATIONAL;19430;7.297;0.02993
409;Conservation Letters;3244;7.279;0.01017
410;DIABETES;53645;7.273;0.07469
411;LAND DEGRADATION & DEVELOPMENT;4655;7.270;0.00628
412;GigaScience;1694;7.267;0.01103
413;Advances in Catalysis;1480;7.250;0.00039
414;QUARTERLY REVIEWS OF BIOPHYSICS;2236;7.242;0.00279
415;Nanoscale;78446;7.233;0.20749
416;PSYCHOLOGICAL REVIEW;27474;7.230;0.00911
416;PSYCHOLOGICAL REVIEW;27474;7.230;0.00911
418;BMJ Quality & Safety;4293;7.226;0.01607
418;BMJ Quality & Safety;4293;7.226;0.01607
420;NPG Asia Materials;3364;7.208;0.00958
421;SEMINARS IN IMMUNOLOGY;4552;7.206;0.01095
422;GASTROINTESTINAL ENDOSCOPY;22214;7.204;0.02997
423;MAYO CLINIC PROCEEDINGS;13828;7.199;0.02597
424;IEEE NETWORK;3372;7.197;0.00910
424;NEURAL NETWORKS;10086;7.197;0.01529
426;EUROPEAN JOURNAL OF CANCER;29883;7.191;0.05017
427;CURRENT OPINION IN STRUCTURAL BIOLOGY;10619;7.179;0.02432
428;IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS;19013;7.172;0.04435
429;JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY;29695;7.144;0.03298
430;Reviews in Aquaculture;860;7.139;0.00196
431;AMERICAN JOURNAL OF KIDNEY DISEASES;23490;7.129;0.03474
432;Eurosurveillance;8482;7.127;0.03120
433;Redox Biology;4083;7.126;0.01206
434;Alcohol Research-Current Reviews;694;7.111;0.00306
435;EXERCISE IMMUNOLOGY REVIEW;740;7.105;0.00111
436;CARBON;66865;7.082;0.08458
437;SPORTS MEDICINE;13251;7.074;0.01732
438;Molecular Ecology Resources;9272;7.059;0.01739
439;WATER RESEARCH;76647;7.051;0.07280
440;IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS;48247;7.050;0.09030
441;2D Materials;3284;7.042;0.01174
442;TRAC-TRENDS IN ANALYTICAL CHEMISTRY;13524;7.034;0.02047
443;COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY;4232;7.028;0.00674
444;EUROPEAN JOURNAL OF EPIDEMIOLOGY;7281;7.023;0.01624
444;INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE;9504;7.023;0.00937
446;MOLECULAR THERAPY;16013;7.008;0.02918
447;Reviews of Environmental Contamination and Toxicology;1937;7.000;0.00144
448;FISH AND FISHERIES;3611;6.990;0.00707
449;Journal of Allergy and Clinical Immunology-In Practice;2802;6.966;0.00967
450;JOURNAL OF POWER SOURCES;113385;6.945;0.14072
451;SCHIZOPHRENIA BULLETIN;15697;6.944;0.02770
451;SCHIZOPHRENIA BULLETIN;15697;6.944;0.02770
453;JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY;26450;6.898;0.03500
454;PROGRESS IN HUMAN GEOGRAPHY;6354;6.885;0.00983
455;ACS Photonics;5823;6.880;0.02454
456;FRONTIERS IN NEUROENDOCRINOLOGY;3924;6.875;0.00604
